run,rank,vllm_source,vllm_version,deepep_source,prepare_finalize,experts,dp_size,tp_size,ep_size,enable_ep,dbo,sequence_parallel,all2all_backend,physical_visible_devices
ep_clean_renderer_chartqa_b4_run0_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b4_run0_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b16_run0_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b16_run0_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b16_run0_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b16_run0_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b1_run0_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b1_run0_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b1_run0_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b1_run0_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b1_run1_modes_cached_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b1_run1_modes_cached_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b1_run1_modes_cached_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b1_run1_modes_cached_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b4_run0_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b4_run0_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b4_run0_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b4_run0_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b4_run1_modes_cached_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b4_run1_modes_cached_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b4_run1_modes_cached_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b4_run1_modes_cached_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b16_run0_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b16_run0_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b16_run0_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b16_run0_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b16_run1_modes_cached_20260908,2,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b16_run1_modes_cached_20260908,1,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b16_run1_modes_cached_20260908,0,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
ep_clean_renderer_gqa_b16_run1_modes_cached_20260908,3,/home/esjung/anaconda3/envs/flashvep-poc/lib/python3.12/site-packages/vllm/__init__.py,0.20.0,/home/esjung/.venvs/flashvep-deepep-v020/lib/python3.12/site-packages/deep_ep/__init__.py,DeepEPHTPrepareAndFinalize,TritonExperts,2,2,4,True,False,True,deepep_high_throughput,"4,5,6,7"
