record_type,pair_id,request_id,category,token_bucket,modality,layer,tokens,vision_tokens,text_tokens,total_assignments,vision_assignments,text_assignments,vision_fraction,R_R0,R_R1,R_R2,R_R3,V_R0,V_R1,V_R2,V_R3,T_R0,T_R1,T_R2,T_R3,active_ranks_R,critical_rank_R,critical_rank_V,critical_rank_T,critical_V_eq_R,critical_T_eq_R
request_layer,0,coins,natural,small,vision,24,128,108,20,1024,864,160,0.84375,214,246,339,225,177,214,293,180,37,32,46,45,4,2,2,2,True,True
request_layer,0,coins,natural,small,vision,25,128,108,20,1024,864,160,0.84375,213,310,175,326,168,276,146,274,45,34,29,52,4,3,1,3,False,True
request_layer,0,coins,natural,small,vision,26,128,108,20,1024,864,160,0.84375,286,280,238,220,241,245,198,180,45,35,40,40,4,0,1,0,False,True
request_layer,0,coins,natural,small,vision,27,128,108,20,1024,864,160,0.84375,262,327,238,197,222,277,209,156,40,50,29,41,4,1,1,1,True,True
request_layer,0,coins,natural,small,vision,28,128,108,20,1024,864,160,0.84375,269,248,243,264,238,216,184,226,31,32,59,38,4,0,0,2,True,False
request_layer,0,coins,natural,small,vision,29,128,108,20,1024,864,160,0.84375,246,228,323,227,203,186,274,201,43,42,49,26,4,2,2,2,True,True
request_layer,0,coins,natural,small,vision,30,128,108,20,1024,864,160,0.84375,263,262,231,268,219,213,180,252,44,49,51,16,4,3,3,2,True,False
request_layer,0,coins,natural,small,vision,31,128,108,20,1024,864,160,0.84375,272,202,191,359,219,168,173,304,53,34,18,55,4,3,3,3,True,True
request_layer,0,coins,natural,small,vision,32,128,108,20,1024,864,160,0.84375,330,225,218,251,287,185,185,207,43,40,33,44,4,0,0,3,True,False
request_layer,0,coins,natural,small,vision,33,128,108,20,1024,864,160,0.84375,316,166,338,204,292,129,280,163,24,37,58,41,4,2,0,2,False,True
request_layer,0,coins,natural,small,vision,34,128,108,20,1024,864,160,0.84375,307,234,249,234,274,198,202,190,33,36,47,44,4,0,0,2,True,False
request_layer,0,coins,natural,small,vision,35,128,108,20,1024,864,160,0.84375,287,270,205,262,224,242,176,222,63,28,29,40,4,0,1,0,False,True
request_layer,0,coins,natural,small,vision,36,128,108,20,1024,864,160,0.84375,186,283,295,260,146,250,252,216,40,33,43,44,4,2,2,3,True,False
request_layer,0,coins,natural,small,vision,37,128,108,20,1024,864,160,0.84375,278,244,247,255,227,213,218,206,51,31,29,49,4,0,0,0,True,True
request_layer,0,coins,natural,small,vision,38,128,108,20,1024,864,160,0.84375,252,267,235,270,211,231,191,231,41,36,44,39,4,3,1,2,False,False
request_layer,0,coins,natural,small,vision,39,128,108,20,1024,864,160,0.84375,265,285,223,251,234,225,194,211,31,60,29,40,4,1,0,1,False,True
request_layer,0,coins,natural,small,vision,40,128,108,20,1024,864,160,0.84375,281,230,250,263,253,194,200,217,28,36,50,46,4,0,0,2,True,False
request_layer,0,coins,natural,small,vision,41,128,108,20,1024,864,160,0.84375,238,253,307,226,194,213,253,204,44,40,54,22,4,2,2,2,True,True
request_layer,0,coins,natural,small,vision,42,128,108,20,1024,864,160,0.84375,215,344,255,210,174,290,226,174,41,54,29,36,4,1,1,1,True,True
request_layer,0,coins,natural,small,vision,43,128,108,20,1024,864,160,0.84375,163,304,277,280,131,268,229,236,32,36,48,44,4,1,1,2,True,False
request_layer,0,coins,natural,small,vision,44,128,108,20,1024,864,160,0.84375,243,287,273,221,198,256,223,187,45,31,50,34,4,1,1,2,True,False
request_layer,0,coins,natural,small,vision,45,128,108,20,1024,864,160,0.84375,320,248,189,267,273,209,149,233,47,39,40,34,4,0,0,0,True,True
request_layer,0,coins,natural,small,vision,46,128,108,20,1024,864,160,0.84375,219,242,300,263,186,205,271,202,33,37,29,61,4,2,2,3,True,False
request_layer,0,coins,natural,small,vision,47,128,108,20,1024,864,160,0.84375,304,234,188,298,264,201,151,248,40,33,37,50,4,0,0,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,0,129,108,21,1032,864,168,0.8372093023255814,185,289,267,291,145,259,214,246,40,30,53,45,4,3,1,2,False,False
request_layer,1,clock_motion,fine_grained,small,vision,1,129,108,21,1032,864,168,0.8372093023255814,254,214,232,332,207,193,183,281,47,21,49,51,4,3,3,3,True,True
request_layer,1,clock_motion,fine_grained,small,vision,2,129,108,21,1032,864,168,0.8372093023255814,271,259,282,220,233,211,230,190,38,48,52,30,4,2,0,2,False,True
request_layer,1,clock_motion,fine_grained,small,vision,3,129,108,21,1032,864,168,0.8372093023255814,298,177,221,336,253,147,178,286,45,30,43,50,4,3,3,3,True,True
request_layer,1,clock_motion,fine_grained,small,vision,4,129,108,21,1032,864,168,0.8372093023255814,270,279,239,244,229,246,194,195,41,33,45,49,4,1,1,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,5,129,108,21,1032,864,168,0.8372093023255814,296,241,259,236,232,210,224,198,64,31,35,38,4,0,0,0,True,True
request_layer,1,clock_motion,fine_grained,small,vision,6,129,108,21,1032,864,168,0.8372093023255814,380,227,228,197,337,180,174,173,43,47,54,24,4,0,0,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,7,129,108,21,1032,864,168,0.8372093023255814,152,225,368,287,107,192,328,237,45,33,40,50,4,2,2,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,8,129,108,21,1032,864,168,0.8372093023255814,223,301,284,224,168,264,231,201,55,37,53,23,4,1,1,0,True,False
request_layer,1,clock_motion,fine_grained,small,vision,9,129,108,21,1032,864,168,0.8372093023255814,355,241,241,195,318,201,194,151,37,40,47,44,4,0,0,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,10,129,108,21,1032,864,168,0.8372093023255814,212,278,293,249,177,232,251,204,35,46,42,45,4,2,2,1,True,False
request_layer,1,clock_motion,fine_grained,small,vision,11,129,108,21,1032,864,168,0.8372093023255814,241,297,236,258,173,254,205,232,68,43,31,26,4,1,1,0,True,False
request_layer,1,clock_motion,fine_grained,small,vision,12,129,108,21,1032,864,168,0.8372093023255814,212,235,237,348,186,195,192,291,26,40,45,57,4,3,3,3,True,True
request_layer,1,clock_motion,fine_grained,small,vision,13,129,108,21,1032,864,168,0.8372093023255814,276,206,246,304,230,175,212,247,46,31,34,57,4,3,3,3,True,True
request_layer,1,clock_motion,fine_grained,small,vision,14,129,108,21,1032,864,168,0.8372093023255814,284,329,207,212,239,289,165,171,45,40,42,41,4,1,1,0,True,False
request_layer,1,clock_motion,fine_grained,small,vision,15,129,108,21,1032,864,168,0.8372093023255814,213,366,178,275,168,319,135,242,45,47,43,33,4,1,1,1,True,True
request_layer,1,clock_motion,fine_grained,small,vision,16,129,108,21,1032,864,168,0.8372093023255814,219,307,273,233,196,261,214,193,23,46,59,40,4,1,1,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,17,129,108,21,1032,864,168,0.8372093023255814,176,256,242,358,137,211,182,334,39,45,60,24,4,3,3,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,18,129,108,21,1032,864,168,0.8372093023255814,306,250,248,228,260,208,190,206,46,42,58,22,4,0,0,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,19,129,108,21,1032,864,168,0.8372093023255814,166,253,342,271,123,217,304,220,43,36,38,51,4,2,2,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,20,129,108,21,1032,864,168,0.8372093023255814,333,197,289,213,278,158,241,187,55,39,48,26,4,0,0,0,True,True
request_layer,1,clock_motion,fine_grained,small,vision,21,129,108,21,1032,864,168,0.8372093023255814,294,265,246,227,253,228,206,177,41,37,40,50,4,0,0,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,22,129,108,21,1032,864,168,0.8372093023255814,206,212,318,296,171,177,270,246,35,35,48,50,4,2,2,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,23,129,108,21,1032,864,168,0.8372093023255814,286,268,207,271,228,228,179,229,58,40,28,42,4,0,3,0,False,True
request_layer,1,clock_motion,fine_grained,small,vision,24,129,108,21,1032,864,168,0.8372093023255814,262,222,236,312,230,187,184,263,32,35,52,49,4,3,3,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,25,129,108,21,1032,864,168,0.8372093023255814,263,170,226,373,220,135,193,316,43,35,33,57,4,3,3,3,True,True
request_layer,1,clock_motion,fine_grained,small,vision,26,129,108,21,1032,864,168,0.8372093023255814,295,288,191,258,243,251,149,221,52,37,42,37,4,0,1,0,False,True
request_layer,1,clock_motion,fine_grained,small,vision,27,129,108,21,1032,864,168,0.8372093023255814,239,309,174,310,195,257,146,266,44,52,28,44,4,3,3,1,True,False
request_layer,1,clock_motion,fine_grained,small,vision,28,129,108,21,1032,864,168,0.8372093023255814,214,312,251,255,189,263,194,218,25,49,57,37,4,1,1,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,29,129,108,21,1032,864,168,0.8372093023255814,193,293,273,273,153,247,212,252,40,46,61,21,4,1,3,2,False,False
request_layer,1,clock_motion,fine_grained,small,vision,30,129,108,21,1032,864,168,0.8372093023255814,253,288,270,221,211,239,208,206,42,49,62,15,4,1,1,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,31,129,108,21,1032,864,168,0.8372093023255814,206,249,313,264,163,219,269,213,43,30,44,51,4,2,2,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,32,129,108,21,1032,864,168,0.8372093023255814,325,231,248,228,268,200,204,192,57,31,44,36,4,0,0,0,True,True
request_layer,1,clock_motion,fine_grained,small,vision,33,129,108,21,1032,864,168,0.8372093023255814,282,214,272,264,251,177,222,214,31,37,50,50,4,0,0,2,True,False
request_layer,1,clock_motion,fine_grained,small,vision,34,129,108,21,1032,864,168,0.8372093023255814,183,271,284,294,152,229,238,245,31,42,46,49,4,3,3,3,True,True
request_layer,1,clock_motion,fine_grained,small,vision,35,129,108,21,1032,864,168,0.8372093023255814,320,215,247,250,255,178,212,219,65,37,35,31,4,0,0,0,True,True
request_layer,1,clock_motion,fine_grained,small,vision,36,129,108,21,1032,864,168,0.8372093023255814,218,273,245,296,178,239,202,245,40,34,43,51,4,3,3,3,True,True
request_layer,1,clock_motion,fine_grained,small,vision,37,129,108,21,1032,864,168,0.8372093023255814,306,229,210,287,255,197,180,232,51,32,30,55,4,0,0,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,38,129,108,21,1032,864,168,0.8372093023255814,274,277,232,249,236,234,185,209,38,43,47,40,4,1,0,2,False,False
request_layer,1,clock_motion,fine_grained,small,vision,39,129,108,21,1032,864,168,0.8372093023255814,177,370,195,290,143,310,166,245,34,60,29,45,4,1,1,1,True,True
request_layer,1,clock_motion,fine_grained,small,vision,40,129,108,21,1032,864,168,0.8372093023255814,229,283,231,289,205,235,183,241,24,48,48,48,4,3,3,1,True,False
request_layer,1,clock_motion,fine_grained,small,vision,41,129,108,21,1032,864,168,0.8372093023255814,236,289,239,268,200,236,183,245,36,53,56,23,4,1,3,2,False,False
request_layer,1,clock_motion,fine_grained,small,vision,42,129,108,21,1032,864,168,0.8372093023255814,228,343,239,222,186,289,202,187,42,54,37,35,4,1,1,1,True,True
request_layer,1,clock_motion,fine_grained,small,vision,43,129,108,21,1032,864,168,0.8372093023255814,209,310,249,264,175,261,200,228,34,49,49,36,4,1,1,1,True,True
request_layer,1,clock_motion,fine_grained,small,vision,44,129,108,21,1032,864,168,0.8372093023255814,253,248,291,240,205,216,242,201,48,32,49,39,4,2,2,2,True,True
request_layer,1,clock_motion,fine_grained,small,vision,45,129,108,21,1032,864,168,0.8372093023255814,287,258,232,255,246,208,188,222,41,50,44,33,4,0,0,1,True,False
request_layer,1,clock_motion,fine_grained,small,vision,46,129,108,21,1032,864,168,0.8372093023255814,316,223,216,277,270,183,193,218,46,40,23,59,4,0,0,3,True,False
request_layer,1,clock_motion,fine_grained,small,vision,47,129,108,21,1032,864,168,0.8372093023255814,345,203,190,294,301,172,147,244,44,31,43,50,4,0,0,3,True,False
request_layer,2,cat,natural,small,vision,0,146,126,20,1168,1008,160,0.863013698630137,366,225,269,308,329,195,223,261,37,30,46,47,4,0,0,3,True,False
request_layer,2,cat,natural,small,vision,1,146,126,20,1168,1008,160,0.863013698630137,298,317,261,292,250,298,214,246,48,19,47,46,4,1,1,0,True,False
request_layer,2,cat,natural,small,vision,2,146,126,20,1168,1008,160,0.863013698630137,247,336,302,283,215,289,256,248,32,47,46,35,4,1,1,1,True,True
request_layer,2,cat,natural,small,vision,3,146,126,20,1168,1008,160,0.863013698630137,225,255,304,384,191,224,257,336,34,31,47,48,4,3,3,3,True,True
request_layer,2,cat,natural,small,vision,4,146,126,20,1168,1008,160,0.863013698630137,291,284,261,332,259,248,215,286,32,36,46,46,4,3,3,2,True,False
request_layer,2,cat,natural,small,vision,5,146,126,20,1168,1008,160,0.863013698630137,252,323,310,283,203,288,274,243,49,35,36,40,4,1,1,0,True,False
request_layer,2,cat,natural,small,vision,6,146,126,20,1168,1008,160,0.863013698630137,350,351,255,212,313,306,205,184,37,45,50,28,4,1,0,2,False,False
request_layer,2,cat,natural,small,vision,7,146,126,20,1168,1008,160,0.863013698630137,232,352,251,333,197,307,226,278,35,45,25,55,4,1,1,3,True,False
request_layer,2,cat,natural,small,vision,8,146,126,20,1168,1008,160,0.863013698630137,265,261,388,254,224,211,344,229,41,50,44,25,4,2,2,1,True,False
request_layer,2,cat,natural,small,vision,9,146,126,20,1168,1008,160,0.863013698630137,330,330,235,273,301,289,186,232,29,41,49,41,4,0,0,2,True,False
request_layer,2,cat,natural,small,vision,10,146,126,20,1168,1008,160,0.863013698630137,250,306,327,285,209,272,280,247,41,34,47,38,4,2,2,2,True,True
request_layer,2,cat,natural,small,vision,11,146,126,20,1168,1008,160,0.863013698630137,257,373,229,309,197,339,192,280,60,34,37,29,4,1,1,0,True,False
request_layer,2,cat,natural,small,vision,12,146,126,20,1168,1008,160,0.863013698630137,257,422,238,251,232,393,186,197,25,29,52,54,4,1,1,3,True,False
request_layer,2,cat,natural,small,vision,13,146,126,20,1168,1008,160,0.863013698630137,359,180,306,323,312,147,265,284,47,33,41,39,4,0,0,0,True,True
request_layer,2,cat,natural,small,vision,14,146,126,20,1168,1008,160,0.863013698630137,250,273,320,325,200,249,285,274,50,24,35,51,4,3,2,3,False,True
request_layer,2,cat,natural,small,vision,15,146,126,20,1168,1008,160,0.863013698630137,262,379,159,368,219,328,117,344,43,51,42,24,4,1,3,1,False,True
request_layer,2,cat,natural,small,vision,16,146,126,20,1168,1008,160,0.863013698630137,241,326,287,314,220,290,230,268,21,36,57,46,4,1,1,2,True,False
request_layer,2,cat,natural,small,vision,17,146,126,20,1168,1008,160,0.863013698630137,231,388,290,259,189,342,235,242,42,46,55,17,4,1,1,2,True,False
request_layer,2,cat,natural,small,vision,18,146,126,20,1168,1008,160,0.863013698630137,296,353,224,295,249,316,164,279,47,37,60,16,4,1,1,2,True,False
request_layer,2,cat,natural,small,vision,19,146,126,20,1168,1008,160,0.863013698630137,272,334,254,308,231,297,224,256,41,37,30,52,4,1,1,3,True,False
request_layer,2,cat,natural,small,vision,20,146,126,20,1168,1008,160,0.863013698630137,335,210,372,251,294,174,326,214,41,36,46,37,4,2,2,2,True,True
request_layer,2,cat,natural,small,vision,21,146,126,20,1168,1008,160,0.863013698630137,309,285,233,341,275,251,190,292,34,34,43,49,4,3,3,3,True,True
request_layer,2,cat,natural,small,vision,22,146,126,20,1168,1008,160,0.863013698630137,301,258,283,326,267,223,234,284,34,35,49,42,4,3,3,2,True,False
request_layer,2,cat,natural,small,vision,23,146,126,20,1168,1008,160,0.863013698630137,255,377,197,339,201,351,163,293,54,26,34,46,4,1,1,0,True,False
request_layer,2,cat,natural,small,vision,24,146,126,20,1168,1008,160,0.863013698630137,269,334,287,278,241,304,239,224,28,30,48,54,4,1,1,3,True,False
request_layer,2,cat,natural,small,vision,25,146,126,20,1168,1008,160,0.863013698630137,353,181,295,339,310,145,262,291,43,36,33,48,4,0,0,3,True,False
request_layer,2,cat,natural,small,vision,26,146,126,20,1168,1008,160,0.863013698630137,273,332,261,302,229,304,221,254,44,28,40,48,4,1,1,3,True,False
request_layer,2,cat,natural,small,vision,27,146,126,20,1168,1008,160,0.863013698630137,243,364,209,352,208,318,173,309,35,46,36,43,4,1,1,1,True,True
request_layer,2,cat,natural,small,vision,28,146,126,20,1168,1008,160,0.863013698630137,257,272,307,332,234,241,241,292,23,31,66,40,4,3,3,2,True,False
request_layer,2,cat,natural,small,vision,29,146,126,20,1168,1008,160,0.863013698630137,203,315,346,304,158,274,288,288,45,41,58,16,4,2,2,2,True,True
request_layer,2,cat,natural,small,vision,30,146,126,20,1168,1008,160,0.863013698630137,280,380,223,285,234,338,167,269,46,42,56,16,4,1,1,2,True,False
request_layer,2,cat,natural,small,vision,31,146,126,20,1168,1008,160,0.863013698630137,314,292,237,325,256,259,214,279,58,33,23,46,4,3,3,0,True,False
request_layer,2,cat,natural,small,vision,32,146,126,20,1168,1008,160,0.863013698630137,343,218,324,283,300,182,284,242,43,36,40,41,4,0,0,0,True,True
request_layer,2,cat,natural,small,vision,33,146,126,20,1168,1008,160,0.863013698630137,312,262,247,347,287,222,200,299,25,40,47,48,4,3,3,3,True,True
request_layer,2,cat,natural,small,vision,34,146,126,20,1168,1008,160,0.863013698630137,302,309,286,271,266,268,243,231,36,41,43,40,4,1,1,2,True,False
request_layer,2,cat,natural,small,vision,35,146,126,20,1168,1008,160,0.863013698630137,281,312,217,358,222,282,189,315,59,30,28,43,4,3,3,0,True,False
request_layer,2,cat,natural,small,vision,36,146,126,20,1168,1008,160,0.863013698630137,224,327,280,337,187,296,233,292,37,31,47,45,4,3,1,2,False,False
request_layer,2,cat,natural,small,vision,37,146,126,20,1168,1008,160,0.863013698630137,327,238,328,275,277,208,291,232,50,30,37,43,4,2,2,0,True,False
request_layer,2,cat,natural,small,vision,38,146,126,20,1168,1008,160,0.863013698630137,271,312,275,310,227,281,232,268,44,31,43,42,4,1,1,0,True,False
request_layer,2,cat,natural,small,vision,39,146,126,20,1168,1008,160,0.863013698630137,221,366,226,355,190,309,199,310,31,57,27,45,4,1,3,1,False,True
request_layer,2,cat,natural,small,vision,40,146,126,20,1168,1008,160,0.863013698630137,238,274,359,297,211,239,308,250,27,35,51,47,4,2,2,2,True,True
request_layer,2,cat,natural,small,vision,41,146,126,20,1168,1008,160,0.863013698630137,248,336,354,230,207,296,295,210,41,40,59,20,4,2,1,2,False,True
request_layer,2,cat,natural,small,vision,42,146,126,20,1168,1008,160,0.863013698630137,282,342,289,255,244,287,261,216,38,55,28,39,4,1,1,1,True,True
request_layer,2,cat,natural,small,vision,43,146,126,20,1168,1008,160,0.863013698630137,245,332,320,271,213,298,261,236,32,34,59,35,4,1,1,2,True,False
request_layer,2,cat,natural,small,vision,44,146,126,20,1168,1008,160,0.863013698630137,261,328,300,279,216,299,248,245,45,29,52,34,4,1,1,2,True,False
request_layer,2,cat,natural,small,vision,45,146,126,20,1168,1008,160,0.863013698630137,315,240,252,361,276,207,204,321,39,33,48,40,4,3,3,2,True,False
request_layer,2,cat,natural,small,vision,46,146,126,20,1168,1008,160,0.863013698630137,295,268,342,263,259,232,314,203,36,36,28,60,4,2,2,3,True,False
request_layer,2,cat,natural,small,vision,47,146,126,20,1168,1008,160,0.863013698630137,343,309,221,295,302,275,186,245,41,34,35,50,4,0,0,3,True,False
request_layer,3,phantom,fine_grained,small,vision,0,165,144,21,1320,1152,168,0.8727272727272727,309,389,322,300,269,356,274,253,40,33,48,47,4,1,1,2,True,False
request_layer,3,phantom,fine_grained,small,vision,1,165,144,21,1320,1152,168,0.8727272727272727,216,420,264,420,173,393,216,370,43,27,48,50,4,1,1,3,True,False
request_layer,3,phantom,fine_grained,small,vision,2,165,144,21,1320,1152,168,0.8727272727272727,303,367,365,285,272,310,311,259,31,57,54,26,4,1,2,1,False,True
request_layer,3,phantom,fine_grained,small,vision,3,165,144,21,1320,1152,168,0.8727272727272727,282,326,313,399,236,297,274,345,46,29,39,54,4,3,3,3,True,True
request_layer,3,phantom,fine_grained,small,vision,4,165,144,21,1320,1152,168,0.8727272727272727,387,417,259,257,345,385,213,209,42,32,46,48,4,1,1,3,True,False
request_layer,3,phantom,fine_grained,small,vision,5,165,144,21,1320,1152,168,0.8727272727272727,463,274,258,325,400,244,223,285,63,30,35,40,4,0,0,0,True,True
request_layer,3,phantom,fine_grained,small,vision,6,165,144,21,1320,1152,168,0.8727272727272727,486,239,377,218,440,197,320,195,46,42,57,23,4,0,0,2,True,False
request_layer,3,phantom,fine_grained,small,vision,7,165,144,21,1320,1152,168,0.8727272727272727,317,315,398,290,269,285,359,239,48,30,39,51,4,2,2,3,True,False
request_layer,3,phantom,fine_grained,small,vision,8,165,144,21,1320,1152,168,0.8727272727272727,222,312,499,287,164,274,449,265,58,38,50,22,4,2,2,0,True,False
request_layer,3,phantom,fine_grained,small,vision,9,165,144,21,1320,1152,168,0.8727272727272727,338,357,385,240,305,316,333,198,33,41,52,42,4,2,2,2,True,True
request_layer,3,phantom,fine_grained,small,vision,10,165,144,21,1320,1152,168,0.8727272727272727,362,326,272,360,327,278,231,316,35,48,41,44,4,0,0,1,True,False
request_layer,3,phantom,fine_grained,small,vision,11,165,144,21,1320,1152,168,0.8727272727272727,316,348,321,335,249,307,290,306,67,41,31,29,4,1,1,0,True,False
request_layer,3,phantom,fine_grained,small,vision,12,165,144,21,1320,1152,168,0.8727272727272727,254,320,378,368,226,282,329,315,28,38,49,53,4,2,2,3,True,False
request_layer,3,phantom,fine_grained,small,vision,13,165,144,21,1320,1152,168,0.8727272727272727,324,256,401,339,279,225,367,281,45,31,34,58,4,2,2,3,True,False
request_layer,3,phantom,fine_grained,small,vision,14,165,144,21,1320,1152,168,0.8727272727272727,321,465,253,281,277,423,218,234,44,42,35,47,4,1,1,3,True,False
request_layer,3,phantom,fine_grained,small,vision,15,165,144,21,1320,1152,168,0.8727272727272727,342,395,297,286,297,347,256,252,45,48,41,34,4,1,1,1,True,True
request_layer,3,phantom,fine_grained,small,vision,16,165,144,21,1320,1152,168,0.8727272727272727,306,313,412,289,284,270,354,244,22,43,58,45,4,2,2,2,True,True
request_layer,3,phantom,fine_grained,small,vision,17,165,144,21,1320,1152,168,0.8727272727272727,238,403,406,273,200,359,338,255,38,44,68,18,4,2,1,2,False,True
request_layer,3,phantom,fine_grained,small,vision,18,165,144,21,1320,1152,168,0.8727272727272727,409,248,427,236,367,210,360,215,42,38,67,21,4,2,0,2,False,True
request_layer,3,phantom,fine_grained,small,vision,19,165,144,21,1320,1152,168,0.8727272727272727,330,289,339,362,275,260,307,310,55,29,32,52,4,3,3,0,True,False
request_layer,3,phantom,fine_grained,small,vision,20,165,144,21,1320,1152,168,0.8727272727272727,401,234,440,245,351,191,393,217,50,43,47,28,4,2,2,0,True,False
request_layer,3,phantom,fine_grained,small,vision,21,165,144,21,1320,1152,168,0.8727272727272727,299,390,393,238,265,350,346,191,34,40,47,47,4,2,1,2,False,True
request_layer,3,phantom,fine_grained,small,vision,22,165,144,21,1320,1152,168,0.8727272727272727,426,235,298,361,393,193,254,312,33,42,44,49,4,0,0,3,True,False
request_layer,3,phantom,fine_grained,small,vision,23,165,144,21,1320,1152,168,0.8727272727272727,350,331,246,393,288,290,219,355,62,41,27,38,4,3,3,0,True,False
request_layer,3,phantom,fine_grained,small,vision,24,165,144,21,1320,1152,168,0.8727272727272727,342,315,270,393,306,276,221,349,36,39,49,44,4,3,3,2,True,False
request_layer,3,phantom,fine_grained,small,vision,25,165,144,21,1320,1152,168,0.8727272727272727,299,249,279,493,256,213,241,442,43,36,38,51,4,3,3,3,True,True
request_layer,3,phantom,fine_grained,small,vision,26,165,144,21,1320,1152,168,0.8727272727272727,358,360,284,318,310,328,240,274,48,32,44,44,4,1,1,0,True,False
