source,sample_id,category,layer,ep_size,semantic_vision_assignments,refined_vision_assignments,risk_ratio,semantic_load,refined_load,stock_max_rank_load,semantic_max_rank_load,semantic_mean_rank_load,semantic_max_mean,refined_max_rank_load,refined_mean_rank_load,refined_max_mean,additional_max_rank_work_removed,incremental_max_rank_oracle_pct,semantic_max_rank_reduction_vs_stock_pct,refined_max_rank_reduction_vs_stock_pct,incremental_max_rank_reduction_pp
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,24,8,566,566,0.9182574428677388,"[107, 84, 107, 73, 85, 118, 117, 75]","[96, 96, 95, 96, 95, 96, 96, 96]",159,118,95.75,1.2323759791122715,96,95.75,1.0026109660574412,22,18.64406779661017,25.78616352201258,39.62264150943396,13.836477987421384
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,24,16,566,566,0.9027134147630457,"[56, 51, 27, 57, 63, 44, 22, 51, 54, 31, 60, 58, 73, 44, 40, 35]","[52, 52, 31, 52, 52, 52, 30, 52, 52, 36, 52, 52, 52, 52, 48, 49]",92,73,47.875,1.524804177545692,52,47.875,1.0861618798955615,21,28.767123287671232,20.652173913043477,43.47826086956522,22.82608695652174
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,36,2,566,566,0.9271200022357373,"[366, 400]","[383, 383]",514,400,383.0,1.0443864229765014,383,383.0,1.0,17,4.25,22.17898832684825,25.486381322957197,3.307392996108949
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,36,4,566,566,0.950780712617186,"[181, 185, 170, 230]","[192, 191, 191, 192]",296,230,191.5,1.2010443864229765,192,191.5,1.0026109660574412,38,16.52173913043478,22.2972972972973,35.13513513513514,12.837837837837839
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,36,8,566,566,0.968213530714687,"[117, 64, 98, 87, 70, 100, 144, 86]","[104, 76, 104, 104, 77, 104, 104, 93]",189,144,95.75,1.5039164490861618,104,95.75,1.0861618798955615,40,27.77777777777778,23.80952380952381,44.973544973544975,21.164021164021165
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,36,16,566,566,0.967688645626227,"[53, 64, 35, 29, 57, 41, 42, 45, 40, 30, 52, 48, 65, 79, 44, 42]","[54, 54, 38, 35, 54, 46, 50, 49, 42, 34, 54, 54, 54, 54, 47, 47]",102,79,47.875,1.650130548302872,54,47.875,1.1279373368146215,25,31.645569620253166,22.54901960784314,47.05882352941177,24.50980392156863
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,44,2,566,566,0.9250848653310199,"[410, 356]","[383, 383]",530,410,383.0,1.0704960835509139,383,383.0,1.0,27,6.585365853658536,22.641509433962263,27.735849056603772,5.09433962264151
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,44,4,566,566,0.9380984676137308,"[187, 223, 204, 152]","[192, 192, 192, 190]",288,223,191.5,1.164490861618799,192,191.5,1.0026109660574412,31,13.90134529147982,22.569444444444443,33.333333333333336,10.76388888888889
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,44,8,566,566,0.9497051998351212,"[80, 107, 132, 91, 105, 99, 85, 67]","[90, 97, 98, 95, 98, 98, 97, 93]",163,132,95.75,1.3785900783289817,98,95.75,1.0234986945169713,34,25.757575757575758,19.01840490797546,39.877300613496935,20.858895705521473
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,44,16,566,566,0.9394390879399136,"[18, 62, 59, 48, 72, 60, 57, 34, 57, 48, 25, 74, 39, 46, 23, 44]","[19, 55, 55, 55, 55, 55, 55, 42, 55, 54, 32, 55, 38, 55, 31, 55]",104,74,47.875,1.5456919060052219,55,47.875,1.1488250652741514,19,25.675675675675677,28.846153846153847,47.11538461538461,18.26923076923077
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,47,2,566,566,0.941109525301919,"[414, 352]","[383, 383]",539,414,383.0,1.080939947780679,383,383.0,1.0,31,7.48792270531401,23.19109461966605,28.94248608534323,5.75139146567718
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,47,4,566,566,0.9433306244484632,"[228, 186, 148, 204]","[192, 192, 192, 190]",293,228,191.5,1.1906005221932114,192,191.5,1.0026109660574412,36,15.789473684210526,22.18430034129693,34.47098976109215,12.286689419795222
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,47,8,566,566,0.9536244534663167,"[130, 98, 83, 103, 86, 62, 113, 91]","[97, 97, 97, 97, 97, 87, 97, 97]",166,130,95.75,1.3577023498694516,97,95.75,1.0130548302872062,33,25.384615384615383,21.686746987951807,41.566265060240966,19.879518072289155
EP4_output_capture_virtual_linear_remap,astronaut_e336,natural,47,16,566,566,0.9606410914695547,"[49, 81, 44, 54, 62, 21, 48, 55, 26, 60, 30, 32, 29, 84, 42, 49]","[55, 55, 49, 55, 56, 24, 56, 56, 28, 56, 38, 42, 38, 56, 47, 55]",107,84,47.875,1.7545691906005223,56,47.875,1.1697127937336815,28,33.333333333333336,21.49532710280374,47.66355140186916,26.16822429906542
EP4_output_capture_virtual_linear_remap,camera_e448,natural,4,2,1106,1106,0.9502841275369264,"[657, 649]","[653, 653]",904,657,653.0,1.006125574272588,653,653.0,1.0,4,0.60882800608828,27.32300884955752,27.765486725663717,0.4424778761061947
EP4_output_capture_virtual_linear_remap,camera_e448,natural,4,4,1106,1106,0.939165304189877,"[373, 284, 338, 311]","[327, 327, 327, 325]",485,373,326.5,1.1424196018376722,327,326.5,1.001531393568147,46,12.332439678284182,23.09278350515464,32.577319587628864,9.484536082474227
EP4_output_capture_virtual_linear_remap,camera_e448,natural,4,8,1106,1106,0.9520133272936814,"[221, 152, 182, 102, 166, 172, 120, 191]","[168, 168, 168, 141, 168, 168, 157, 168]",280,221,163.25,1.3537519142419603,168,163.25,1.0290964777947933,53,23.981900452488688,21.071428571428573,40.0,18.928571428571427
EP4_output_capture_virtual_linear_remap,camera_e448,natural,4,16,1106,1106,0.9473169033711324,"[118, 103, 59, 93, 133, 49, 49, 53, 67, 99, 96, 76, 73, 47, 56, 135]","[90, 90, 77, 90, 90, 66, 68, 59, 90, 90, 90, 90, 90, 58, 78, 90]",189,135,81.625,1.653905053598775,90,81.625,1.1026033690658499,45,33.333333333333336,28.571428571428573,52.38095238095238,23.80952380952381
EP4_output_capture_virtual_linear_remap,camera_e448,natural,12,2,1106,1106,0.9204852353174771,"[567, 739]","[653, 653]",981,739,653.0,1.1316998468606432,653,653.0,1.0,86,11.637347767253045,24.668705402650357,33.435270132517836,8.766564729867483
EP4_output_capture_virtual_linear_remap,camera_e448,natural,12,4,1106,1106,0.924936963718717,"[352, 215, 404, 335]","[333, 307, 333, 333]",514,404,326.5,1.237366003062787,333,326.5,1.0199081163859112,71,17.574257425742573,21.40077821011673,35.21400778210117,13.813229571984436
EP4_output_capture_virtual_linear_remap,camera_e448,natural,12,8,1106,1106,0.9410768688628051,"[205, 147, 98, 117, 117, 287, 177, 158]","[174, 174, 136, 160, 140, 174, 174, 174]",363,287,163.25,1.7580398162327717,174,163.25,1.0658499234303216,113,39.37282229965157,20.9366391184573,52.06611570247934,31.12947658402204
EP4_output_capture_virtual_linear_remap,camera_e448,natural,12,16,1106,1106,0.9397869143546054,"[92, 113, 65, 82, 52, 46, 60, 57, 55, 62, 102, 185, 85, 92, 91, 67]","[93, 92, 80, 92, 72, 56, 73, 76, 59, 78, 93, 92, 92, 92, 93, 73]",228,185,81.625,2.2664624808575806,93,81.625,1.1393568147013782,92,49.729729729729726,18.859649122807017,59.21052631578947,40.35087719298246
EP4_output_capture_virtual_linear_remap,camera_e448,natural,24,2,1106,1106,0.9300863075773208,"[564, 742]","[653, 653]",990,742,653.0,1.1362940275650841,653,653.0,1.0,89,11.994609164420485,25.050505050505052,34.04040404040404,8.98989898989899
EP4_output_capture_virtual_linear_remap,camera_e448,natural,24,4,1106,1106,0.9070531704102017,"[321, 243, 412, 330]","[325, 327, 327, 327]",527,412,326.5,1.2618683001531394,327,326.5,1.001531393568147,85,20.631067961165048,21.821631878557874,37.95066413662239,16.129032258064516
EP4_output_capture_virtual_linear_remap,camera_e448,natural,24,8,1106,1106,0.9288492614236532,"[192, 129, 132, 111, 149, 263, 195, 135]","[170, 150, 161, 145, 170, 171, 170, 169]",329,263,163.25,1.6110260336906586,171,163.25,1.0474732006125573,92,34.98098859315589,20.060790273556233,48.02431610942249,27.96352583586626
EP4_output_capture_virtual_linear_remap,camera_e448,natural,24,16,1106,1106,0.9376888265185914,"[79, 113, 85, 44, 55, 77, 61, 50, 75, 74, 125, 138, 91, 104, 72, 63]","[87, 87, 87, 55, 69, 87, 80, 66, 86, 87, 87, 87, 87, 87, 87, 80]",167,138,81.625,1.6906584992343032,87,81.625,1.0658499234303216,51,36.95652173913044,17.365269461077844,47.90419161676647,30.538922155688624
EP4_output_capture_virtual_linear_remap,camera_e448,natural,36,2,1106,1106,0.9483209782277187,"[485, 821]","[652, 654]",1071,821,653.0,1.2572741194486983,654,653.0,1.001531393568147,167,20.34104750304507,23.34267040149393,38.93557422969187,15.592903828197946
EP4_output_capture_virtual_linear_remap,camera_e448,natural,36,4,1106,1106,0.9550927770666685,"[265, 220, 393, 428]","[330, 315, 330, 331]",581,428,326.5,1.310872894333844,331,326.5,1.013782542113323,97,22.66355140186916,26.333907056798623,43.029259896729776,16.695352839931154
EP4_output_capture_virtual_linear_remap,camera_e448,natural,36,8,1106,1106,0.9661969910978102,"[146, 119, 120, 100, 187, 206, 285, 143]","[175, 140, 149, 143, 175, 175, 176, 173]",380,285,163.25,1.7457886676875958,176,163.25,1.0781010719754978,109,38.24561403508772,25.0,53.68421052631579,28.68421052631579
EP4_output_capture_virtual_linear_remap,camera_e448,natural,36,16,1106,1106,1.0022360905680017,"[72, 74, 89, 30, 49, 71, 50, 50, 90, 97, 87, 119, 129, 156, 76, 67]","[88, 87, 90, 42, 62, 84, 69, 70, 89, 90, 89, 90, 90, 90, 86, 90]",209,156,81.625,1.9111791730474732,90,81.625,1.1026033690658499,66,42.30769230769231,25.358851674641148,56.9377990430622,31.57894736842105
EP4_output_capture_virtual_linear_remap,camera_e448,natural,44,2,1106,1106,0.9283466859928494,"[641, 665]","[653, 653]",898,665,653.0,1.0183767228177643,653,653.0,1.0,12,1.8045112781954886,25.946547884187083,27.28285077951002,1.3363028953229399
EP4_output_capture_virtual_linear_remap,camera_e448,natural,44,4,1106,1106,0.9322918065212618,"[319, 322, 382, 283]","[327, 327, 326, 326]",507,382,326.5,1.1699846860643186,327,326.5,1.001531393568147,55,14.397905759162304,24.65483234714004,35.50295857988166,10.848126232741617
EP4_output_capture_virtual_linear_remap,camera_e448,natural,44,8,1106,1106,0.9435392194516049,"[168, 151, 156, 166, 159, 223, 167, 116]","[164, 163, 164, 164, 164, 164, 164, 159]",275,223,163.25,1.3660030627871362,164,163.25,1.004594180704441,59,26.457399103139014,18.90909090909091,40.36363636363637,21.454545454545453
EP4_output_capture_virtual_linear_remap,camera_e448,natural,44,16,1106,1106,0.9488481862640442,"[67, 101, 77, 74, 88, 68, 103, 63, 86, 73, 88, 135, 92, 75, 69, 47]","[81, 83, 83, 83, 83, 82, 83, 83, 83, 83, 83, 83, 83, 83, 83, 64]",175,135,81.625,1.653905053598775,83,81.625,1.0168453292496171,52,38.51851851851852,22.857142857142858,52.57142857142857,29.714285714285715
EP4_output_capture_virtual_linear_remap,camera_e448,natural,47,2,1106,1106,0.9425305307550234,"[678, 628]","[653, 653]",950,678,653.0,1.0382848392036754,653,653.0,1.0,25,3.687315634218289,28.63157894736842,31.263157894736842,2.6315789473684212
EP4_output_capture_virtual_linear_remap,camera_e448,natural,47,4,1106,1106,0.9442212639809126,"[331, 347, 282, 346]","[327, 326, 326, 327]",478,347,326.5,1.0627871362940275,327,326.5,1.001531393568147,20,5.763688760806916,27.405857740585773,31.589958158995817,4.184100418410042
EP4_output_capture_virtual_linear_remap,camera_e448,natural,47,8,1106,1106,0.9739909879671744,"[193, 138, 166, 181, 158, 124, 176, 170]","[164, 164, 163, 164, 163, 160, 164, 164]",275,193,163.25,1.1822358346094946,164,163.25,1.004594180704441,29,15.025906735751295,29.818181818181817,40.36363636363637,10.545454545454545
EP4_output_capture_virtual_linear_remap,camera_e448,natural,47,16,1106,1106,0.9687107782785781,"[68, 125, 55, 83, 121, 45, 84, 97, 57, 101, 47, 77, 49, 127, 89, 81]","[90, 90, 63, 90, 90, 60, 90, 90, 63, 90, 65, 90, 65, 90, 90, 90]",170,127,81.625,1.555895865237366,90,81.625,1.1026033690658499,37,29.133858267716537,25.294117647058822,47.05882352941177,21.764705882352942
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,4,2,2453,2453,0.9443617728367298,"[1185, 1468]","[1327, 1326]",2073,1468,1326.5,1.1066716924236712,1327,1326.5,1.0003769317753486,141,9.60490463215259,29.184756391702845,35.98649300530632,6.801736613603473
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,4,4,2453,2453,0.9507642551009216,"[621, 564, 622, 846]","[664, 663, 662, 664]",1198,846,663.25,1.275537127779872,664,663.25,1.001130795326046,182,21.513002364066192,29.382303839732888,44.574290484140235,15.191986644407345
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,4,8,2453,2453,0.9626395158279413,"[367, 254, 180, 384, 335, 287, 318, 528]","[341, 341, 266, 341, 341, 341, 341, 341]",766,528,331.625,1.5921598190727477,341,331.625,1.0282698831511496,187,35.416666666666664,31.070496083550914,55.483028720626635,24.412532637075717
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,4,16,2453,2453,0.9636894971125113,"[221, 146, 162, 92, 125, 55, 210, 174, 148, 187, 140, 147, 218, 100, 210, 318]","[179, 176, 179, 135, 170, 83, 179, 179, 179, 179, 179, 178, 179, 122, 178, 179]",472,318,165.8125,1.9178288729739916,179,165.8125,1.0795326045985676,139,43.710691823899374,32.6271186440678,62.07627118644068,29.449152542372882
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,12,2,2453,2453,0.9340484899944328,"[1477, 1176]","[1327, 1326]",2061,1477,1326.5,1.1134564643799472,1327,1326.5,1.0003769317753486,150,10.15572105619499,28.335759340126152,35.61377971858321,7.27802037845706
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,12,4,2453,2453,0.9476751683521953,"[581, 896, 555, 621]","[662, 664, 664, 663]",1244,896,663.25,1.3509234828496042,664,663.25,1.001130795326046,232,25.892857142857142,27.974276527331188,46.62379421221865,18.64951768488746
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,12,8,2453,2453,0.9682412218456332,"[393, 188, 380, 516, 211, 344, 403, 218]","[361, 242, 361, 361, 286, 360, 360, 322]",750,516,331.625,1.5559743686392762,361,331.625,1.0885789672069355,155,30.03875968992248,31.2,51.86666666666667,20.666666666666668
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,12,16,2453,2453,0.9743837795273312,"[219, 174, 76, 112, 188, 192, 240, 276, 110, 101, 117, 227, 141, 262, 121, 97]","[188, 187, 92, 138, 188, 188, 188, 188, 137, 137, 160, 188, 185, 187, 178, 124]",416,276,165.8125,1.6645307199396908,188,165.8125,1.133810780248775,88,31.884057971014492,33.65384615384615,54.80769230769231,21.153846153846153
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,24,2,2453,2453,0.9262748469072547,"[1343, 1310]","[1327, 1326]",1872,1343,1326.5,1.0124387485865058,1327,1326.5,1.0003769317753486,16,1.1913626209977661,28.25854700854701,29.113247863247864,0.8547008547008547
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,24,4,2453,2453,0.9093616852531063,"[583, 760, 675, 635]","[664, 664, 661, 664]",1085,760,663.25,1.1458725970599322,664,663.25,1.001130795326046,96,12.631578947368421,29.953917050691246,38.80184331797235,8.847926267281107
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,24,8,2453,2453,0.9380555583841929,"[379, 204, 319, 441, 227, 448, 398, 237]","[342, 259, 342, 342, 342, 342, 342, 342]",637,448,331.625,1.3509234828496042,342,331.625,1.031285337353939,106,23.660714285714285,29.67032967032967,46.31083202511774,16.64050235478807
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,24,16,2453,2453,0.9513460691132151,"[201, 178, 97, 107, 137, 182, 190, 251, 113, 114, 198, 250, 194, 204, 136, 101]","[175, 175, 121, 134, 175, 175, 175, 175, 160, 175, 175, 175, 175, 175, 175, 138]",372,251,165.8125,1.5137580098002261,175,165.8125,1.0554089709762533,76,30.278884462151396,32.526881720430104,52.956989247311824,20.43010752688172
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,36,2,2453,2453,0.9540148273162531,"[1220, 1433]","[1326, 1327]",1925,1433,1326.5,1.080286468149265,1327,1326.5,1.0003769317753486,106,7.397069085833915,25.558441558441558,31.064935064935064,5.5064935064935066
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,36,4,2453,2453,0.9397486123228111,"[503, 717, 656, 777]","[662, 664, 664, 663]",1094,777,663.25,1.1715039577836412,664,663.25,1.001130795326046,113,14.543114543114543,28.97623400365631,39.30530164533821,10.3290676416819
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,36,8,2453,2453,0.9581361819175769,"[310, 193, 375, 342, 308, 348, 541, 236]","[344, 253, 342, 344, 344, 344, 344, 338]",729,541,331.625,1.6313607237090086,344,331.625,1.0373162457595175,197,36.41404805914972,25.78875171467764,52.81207133058985,27.023319615912207
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,36,16,2453,2453,0.9718263218093101,"[173, 137, 86, 107, 161, 214, 133, 209, 172, 136, 118, 230, 221, 320, 140, 96]","[186, 166, 107, 127, 186, 186, 148, 186, 186, 166, 144, 186, 186, 186, 176, 131]",436,320,165.8125,1.9298906897851489,186,165.8125,1.1217489634376179,134,41.875,26.605504587155963,57.3394495412844,30.73394495412844
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,44,2,2453,2453,0.9475797298977304,"[1320, 1333]","[1327, 1326]",1889,1333,1326.5,1.0049001130795325,1327,1326.5,1.0003769317753486,6,0.450112528132033,29.433562731604024,29.751191106405507,0.31762837480148226
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,44,4,2453,2453,0.960013395875781,"[577, 743, 714, 619]","[664, 662, 663, 664]",1018,743,663.25,1.120241236336223,664,663.25,1.001130795326046,79,10.63257065948856,27.01375245579568,34.77406679764243,7.760314341846758
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,44,8,2453,2453,0.9523314676028626,"[283, 294, 282, 461, 349, 365, 302, 317]","[332, 332, 329, 332, 332, 332, 332, 332]",621,461,331.625,1.390124387485865,332,331.625,1.001130795326046,129,27.982646420824295,25.764895330112722,46.5378421900161,20.77294685990338
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,44,16,2453,2453,0.9524500508617103,"[123, 160, 165, 129, 132, 150, 212, 249, 210, 139, 150, 215, 161, 141, 188, 129]","[166, 166, 166, 165, 166, 165, 166, 166, 166, 166, 166, 166, 166, 166, 166, 165]",349,249,165.8125,1.5016961929890689,166,165.8125,1.001130795326046,83,33.333333333333336,28.653295128939828,52.43553008595988,23.78223495702006
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,47,2,2453,2453,0.9566259511684713,"[1497, 1156]","[1326, 1327]",2122,1497,1326.5,1.1285337353938938,1327,1326.5,1.0003769317753486,170,11.356045424181696,29.453345900094252,37.46465598491989,8.011310084825636
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,47,4,2453,2453,0.965851379224547,"[705, 792, 549, 607]","[662, 663, 664, 664]",1101,792,663.25,1.194119864304561,664,663.25,1.001130795326046,128,16.161616161616163,28.065395095367847,39.69118982742961,11.625794732061761
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,47,8,2453,2453,0.9799647750042081,"[367, 338, 368, 424, 237, 312, 317, 290]","[335, 335, 335, 335, 308, 335, 335, 335]",597,424,331.625,1.278552581982661,335,331.625,1.0101771579344139,89,20.99056603773585,28.97822445561139,43.88609715242881,14.90787269681742
EP4_output_capture_virtual_linear_remap,chelsea_e672,natural,47,16,2453,2453,0.9807486325557951,"[162, 205, 117, 221, 277, 91, 218, 206, 104, 133, 95, 217, 84, 233, 159, 131]","[183, 183, 154, 183, 183, 132, 183, 183, 128, 155, 130, 182, 127, 184, 183, 180]",365,277,165.8125,1.6705616283452696,184,165.8125,1.1096871466264606,93,33.57400722021661,24.10958904109589,49.58904109589041,25.47945205479452
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,4,2,566,566,0.9337161056054821,"[413, 353]","[383, 383]",528,413,383.0,1.0783289817232375,383,383.0,1.0,30,7.263922518159807,21.78030303030303,27.46212121212121,5.681818181818182
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,4,4,566,566,0.9584140509219682,"[197, 216, 179, 174]","[191, 192, 191, 192]",281,216,191.5,1.1279373368146215,192,191.5,1.0026109660574412,24,11.11111111111111,23.131672597864767,31.672597864768683,8.540925266903914
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,4,8,566,566,0.9614507792881578,"[127, 70, 89, 127, 115, 64, 89, 85]","[99, 89, 99, 99, 99, 83, 99, 99]",168,127,95.75,1.3263707571801566,99,95.75,1.0339425587467364,28,22.04724409448819,24.404761904761905,41.07142857142857,16.666666666666668
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,4,16,566,566,0.9666335879411265,"[64, 63, 31, 39, 78, 11, 88, 39, 43, 72, 35, 29, 28, 61, 29, 56]","[61, 61, 35, 44, 62, 11, 61, 41, 59, 61, 40, 41, 35, 61, 33, 60]",118,88,47.875,1.8381201044386424,62,47.875,1.2950391644908616,26,29.545454545454547,25.423728813559322,47.45762711864407,22.033898305084747
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,12,2,566,566,0.9221584801146249,"[375, 391]","[383, 383]",506,391,383.0,1.0208877284595301,383,383.0,1.0,8,2.0460358056265986,22.727272727272727,24.308300395256918,1.5810276679841897
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,12,4,566,566,0.9629090581171593,"[162, 213, 155, 236]","[195, 194, 181, 196]",310,236,191.5,1.2323759791122715,196,191.5,1.0234986945169713,40,16.949152542372882,23.870967741935484,36.774193548387096,12.903225806451612
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,12,8,566,566,0.9800700180155064,"[107, 55, 75, 138, 76, 79, 138, 98]","[109, 73, 91, 109, 75, 91, 109, 109]",180,138,95.75,1.441253263707572,109,95.75,1.1383812010443863,29,21.014492753623188,23.333333333333332,39.44444444444444,16.11111111111111
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,12,16,566,566,0.9580807812940232,"[30, 77, 25, 30, 27, 48, 78, 60, 13, 63, 53, 26, 61, 77, 60, 38]","[47, 59, 37, 38, 33, 56, 59, 59, 9, 59, 59, 27, 59, 59, 59, 47]",100,78,47.875,1.629242819843342,59,47.875,1.2323759791122715,19,24.358974358974358,22.0,41.0,19.0
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,24,2,566,566,0.9295323556944209,"[351, 415]","[383, 383]",550,415,383.0,1.08355091383812,383,383.0,1.0,32,7.710843373493976,24.545454545454547,30.363636363636363,5.818181818181818
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,24,4,566,566,1.006626160141005,"[177, 174, 164, 251]","[195, 184, 191, 196]",334,251,191.5,1.3107049608355092,196,191.5,1.0234986945169713,55,21.91235059760956,24.850299401197606,41.31736526946108,16.46706586826347
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,24,8,566,566,0.9924437237458756,"[99, 78, 86, 88, 86, 78, 122, 129]","[101, 88, 93, 94, 101, 87, 101, 101]",173,129,95.75,1.3472584856396868,101,95.75,1.0548302872062663,28,21.705426356589147,25.433526011560694,41.61849710982659,16.184971098265898
EP4_output_capture_virtual_linear_remap,brick_e336,fine_grained,24,16,566,566,1.031709243422408,"[32, 67, 44, 34, 32, 54, 34, 54, 29, 57, 43, 35, 50, 72, 76, 53]","[44, 54, 42, 46, 37, 55, 38, 53, 33, 54, 45, 45, 55, 55, 55, 55]",104,76,47.875,1.587467362924282,55,47.875,1.1488250652741514,21,27.63157894736842,26.923076923076923,47.11538461538461,20.192307692307693
