id,cluster,hidden_assumption,current_evidence_or_source,counterfactual_and_work_removed,new_cost_or_dependency,analytical_direct_e2e_pct,prior_art_risk,gate,status
A36,communication,A full barrier is necessary instead of scoped notification,deep_ep::intranode::barrier observed in tail,scope barrier to dependent ranks/tokens,collective semantics and metadata,unknown; prior wait policy no E2E gain,DeepEP overlap,PRIOR_ART_COLLISION,DROP
A37,communication,Communication and compute priorities are static and adequate,DeepEP HT uses fixed comm stream/num_sms,priority or deadline policy,starvation and fairness,0.11 median SMS envelope,ASAP/stream schedulers,LOW_HEADROOM,DROP
A38,communication,All asynchronous work can be safely overlapped without credits,previous_event dependency and outstanding tail contradict,credit/backpressure contract,throughput loss and queue memory,1.09 cap,async EP,LOW_HEADROOM,DROP
A39,hardware,Physical DP mapping within four NVLink GPUs is neutral,H43 pinning null on current mapping,remap topology-aware,launch/restart and locality,0.15 observed,topology-aware EP,LOW_HEADROOM,DROP
A40,hardware,HBM allocator/workspace state is irrelevant after warmup,common regime transitions and 13.9ms metadata outliers,precondition/reuse workspace,fragmentation and memory pressure,unknown; no direct request mass,allocator systems,ANALYTICAL_UNKNOWN,UNTESTED
A41,hardware,GPU clock and power state are stable during serving,H13 telemetry was not a causal candidate; common states observed,clock-aware admission/measurement,control overhead,unknown,hardware scheduling,ANALYTICAL_UNKNOWN,UNTESTED
A42,hardware,One stream priority ordering fits all layers,source has compute/comm streams but no per-layer policy,layer/dependency priorities,priority inversion,<=2.1 config envelope,stream scheduling,LOW_HEADROOM,DROP
A43,model,Router decisions are immutable once top-k is produced,top-k route passed into DeepEP,late route correction/aggregation,quality and recomputation,quality-changing and crowded,Capacity-Aware/MACS,PRIOR_ART_COLLISION,DROP
A44,model,Top-k=8 contribution weights all require exact evaluation,Qwen config top-8; partial/skip paths tested and failed quality/headroom,rank-aware partial contribution,verification and model error,<=11.4 old oracle; no direct prototype,SpecMoE/skipping,LOW_HEADROOM,DROP
A45,model,Vision and text tokens require identical execution contracts,Qwen-VL multimodal route,modality-specific contract,semantic and fairness complexity,<=2% after controls,modality MoE work,LOW_HEADROOM,DROP
A46,model,Vision token spatial locality cannot affect expert execution,vision token IDs carry image/position metadata,spatial packing/placement,sequence-order and quality,prior spatial tests weak,modality scheduling,LOW_HEADROOM,DROP
A47,model,Expert placement is independent of phase and modality,EPLB off; prior modality switch null under 4GPU controls,phase-conditioned placement,migration/replication,prior RL/EPLB and no headroom,RL/EPLB placement,PRIOR_ART_COLLISION,DROP
A48,request,All requests need the same maximum scheduled-token policy,V1 scheduler uses common MBT/cudagraph policy,request-class policy,starvation and implementation complexity,weak composition effects,Layered Prefill,LOW_HEADROOM,DROP
A49,request,Request identity need not be joined to rank-local MoE events,previous reports lacked native request join; newer traces join logical rows,request-level causal accounting,logging overhead,measurement requirement not savings,observability,MEASUREMENT_ONLY,DROP
A50,request,Non-MoE attention and MoE tails are independent,old 14.2x co-tail contradicted by fresh 0.0407% overlap,whole-step state-aware control,extra telemetry,unresolved but no EP mass,generic runtime,ANALYTICAL_UNKNOWN,UNTESTED
