experiment,policy,requests,datasets,assignment_drop_pct,max_rank_reduction_pct,mean_kl_per_answer_token,median_kl_per_answer_token,short_greedy_exact_pct,benchmark_correct,reference_benchmark_correct,benchmark_delta_pp
proxy_quality_heldout32_highdrop_20260911,contribution_f0.4,32,chartqa;gqa,36.02649259428921,33.89547567435629,0.014560184910294538,0.002711925422772765,96.875,25,24,3.125
proxy_quality_heldout32_highdrop_20260911,contribution_f0.5,32,chartqa;gqa,45.033115742861504,42.25653859228795,0.021484903817521328,0.0042144369799643755,93.75,25,24,3.125
proxy_quality_heldout32_highdrop_20260911,fixed_vision_k4,32,chartqa;gqa,45.033115742861504,41.79974697678176,0.01462127877178121,0.00361339480150491,93.75,25,24,3.125
proxy_quality_heldout32_highdrop_20260911,semantic_coarse_0.4,32,chartqa;gqa,35.7601934335586,34.555069584616504,0.013809545631566778,0.00308618345297873,93.75,23,24,-3.125
proxy_quality_heldout32_highdrop_20260911,semantic_coarse_0.5,32,chartqa;gqa,44.06474592860819,42.24975848624775,0.019542315773913188,0.0037583536468446255,93.75,25,24,3.125
proxy_quality_heldout32_highdrop_20260911,semantic_full_0.4,32,chartqa;gqa,35.805803856176986,34.46042326993298,0.012604564839765686,0.005662483628839254,96.875,24,24,0.0
proxy_quality_heldout32_highdrop_20260911,semantic_full_0.5,32,chartqa;gqa,45.04258648261157,43.506955567367214,0.018027398088392932,0.005039484240114689,93.75,24,24,0.0
proxy_quality_heldout32_highdrop_20260911,stock,32,chartqa;gqa,0.0,0.0,2.7220736255328948e-09,0.0,100.0,24,24,0.0
proxy_quality_heldout8_20260911,contribution_f0.1,8,chartqa;gqa,8.888278176348068,8.212096359245885,0.014177694835751709,0.004771878710016608,87.5,7,6,12.5
proxy_quality_heldout8_20260911,contribution_f0.2,8,chartqa;gqa,17.776556352696137,16.690591056934384,0.009309218605437763,0.00265535619109869,87.5,7,6,12.5
proxy_quality_heldout8_20260911,contribution_f0.3,8,chartqa;gqa,26.6648345290442,25.35803347497926,0.01153640930670008,0.001702034380286932,87.5,7,6,12.5
proxy_quality_heldout8_20260911,fixed_vision_k4,8,chartqa;gqa,44.44139088174034,41.72978319181169,0.007066386955727921,0.003331121988594532,87.5,7,6,12.5
proxy_quality_heldout8_20260911,fixed_vision_k6,8,chartqa;gqa,22.22069544087017,20.76159875410447,0.004823808112860206,0.0018748994334600866,100.0,6,6,0.0
proxy_quality_heldout8_20260911,router_mass_t0.8,8,chartqa;gqa,17.367500741292524,16.61394693106267,0.003195983402576985,0.002690530032850802,87.5,7,6,12.5
proxy_quality_heldout8_20260911,router_mass_t0.9,8,chartqa;gqa,6.39073446118279,5.7008564923470395,0.0035332632624545113,0.0011843534302897751,100.0,6,6,0.0
proxy_quality_heldout8_20260911,router_mass_t0.95,8,chartqa;gqa,0.1972678724163605,0.06817961807209227,0.004983604350684345,0.0031664418056607246,87.5,7,6,12.5
proxy_quality_heldout8_20260911,semantic_coarse_0.1,8,chartqa;gqa,9.13082314465171,8.898849464724323,0.005424980090737108,0.0025235897628590465,100.0,6,6,0.0
proxy_quality_heldout8_20260911,semantic_coarse_0.2,8,chartqa;gqa,17.530459564272306,17.273670527425388,0.006261527871401995,0.002523308154195547,100.0,6,6,0.0
proxy_quality_heldout8_20260911,semantic_coarse_0.3,8,chartqa;gqa,24.794903542140105,24.143105298533538,0.009253864193169647,0.0033695646561682224,100.0,6,6,0.0
proxy_quality_heldout8_20260911,semantic_full_0.1,8,chartqa;gqa,9.13082314465171,8.898849464724323,0.005424980090737108,0.0025235897628590465,100.0,6,6,0.0
proxy_quality_heldout8_20260911,semantic_full_0.2,8,chartqa;gqa,18.140422500578566,17.91923708119194,0.004796649971694933,0.0033912149956449866,100.0,6,6,0.0
proxy_quality_heldout8_20260911,semantic_full_0.3,8,chartqa;gqa,25.956538561675536,25.85499626753427,0.00703907673505455,0.004619581857696176,100.0,6,6,0.0
proxy_quality_heldout8_20260911,stock,8,chartqa;gqa,0.0,0.0,2.597204562526656e-09,1.3524326103464546e-09,100.0,6,6,0.0
semantic_ep_refined_quality_chartqa8_20260911,ep_refined_0.1_s0.05,8,chartqa,9.164100914480034,15.92154946716785,0.0034054907851270855,1.8327751604374498e-05,100.0,7,7,0.0
semantic_ep_refined_quality_chartqa8_20260911,ep_refined_0.2_s0.05,8,chartqa,18.32820182896007,24.959835318638426,0.0021145982313122147,8.209989573515486e-06,100.0,7,7,0.0
semantic_ep_refined_quality_chartqa8_20260911,ep_refined_0.3_s0.05,8,chartqa,27.5377969762419,33.546294589248596,0.005618767479582232,1.4413327676265908e-05,100.0,7,7,0.0
semantic_ep_refined_quality_chartqa8_20260911,stock,8,chartqa,0.0,0.0,0.0,0.0,100.0,7,7,0.0
semantic_ep_refined_quality_gqa8_20260911,ep_refined_0.1_s0.05,8,gqa,8.659961760574372,14.152470246192147,0.0032742895127739757,0.0020622899173758924,100.0,5,5,0.0
semantic_ep_refined_quality_gqa8_20260911,ep_refined_0.2_s0.05,8,gqa,17.474431633118364,23.84441392764382,0.003480847430182621,0.002672539441846311,100.0,5,5,0.0
semantic_ep_refined_quality_gqa8_20260911,ep_refined_0.3_s0.05,8,gqa,26.35573163202305,32.84862013892465,0.00863634042616468,0.007363338489085436,87.5,5,5,0.0
semantic_ep_refined_quality_gqa8_20260911,stock,8,gqa,0.0,0.0,5.039355197022921e-09,2.2355261530826454e-09,100.0,5,5,0.0
semantic_schedule_quality_chartqa8_20260911,semantic_coarse_0.1,8,chartqa,9.164100914480034,8.865681001282644,0.0006529023363199826,3.5511537248567038e-06,100.0,7,7,0.0
semantic_schedule_quality_chartqa8_20260911,semantic_coarse_0.2,8,chartqa,18.32820182896007,17.55841142801902,0.003976633530126783,5.546256943489425e-06,100.0,7,7,0.0
semantic_schedule_quality_chartqa8_20260911,semantic_coarse_0.3,8,chartqa,27.5377969762419,26.617652519021934,0.005114231633566391,4.102178752418695e-05,100.0,7,7,0.0
semantic_schedule_quality_chartqa8_20260911,semantic_full_0.1,8,chartqa,9.164100914480034,8.60303591001481,0.0010466733312277654,4.31546786785475e-05,87.5,7,7,0.0
semantic_schedule_quality_chartqa8_20260911,semantic_full_0.2,8,chartqa,18.32820182896007,17.427707406925418,0.0023845322708098138,6.511147148557939e-06,100.0,7,7,0.0
semantic_schedule_quality_chartqa8_20260911,semantic_full_0.3,8,chartqa,27.5377969762419,26.436783660470592,0.002067676081622949,6.1914613525004825e-06,100.0,7,7,0.0
semantic_schedule_quality_chartqa8_20260911,stock,8,chartqa,0.0,0.0,0.0,0.0,100.0,7,7,0.0
semantic_schedule_quality_gqa8_20260911,semantic_coarse_0.1,8,gqa,8.659961760574372,8.46581350204919,0.003730511394678615,0.0032637292752042413,100.0,5,5,0.0
semantic_schedule_quality_gqa8_20260911,semantic_coarse_0.2,8,gqa,17.474431633118364,16.779640117674244,0.00344108029094059,0.0027166992658749223,100.0,5,5,0.0
semantic_schedule_quality_gqa8_20260911,semantic_coarse_0.3,8,gqa,26.35573163202305,25.548848591385703,0.0053785528798471205,0.004769003135152161,100.0,5,5,0.0
semantic_schedule_quality_gqa8_20260911,semantic_full_0.1,8,gqa,8.659961760574372,8.655235189823424,0.0036237476451788098,0.002185720717534423,100.0,5,5,0.0
semantic_schedule_quality_gqa8_20260911,semantic_full_0.2,8,gqa,17.474431633118364,17.12123403883048,0.008684858650667593,0.003911629086360335,100.0,5,5,0.0
semantic_schedule_quality_gqa8_20260911,semantic_full_0.3,8,gqa,26.35573163202305,25.552183072400876,0.007408584897348192,0.0036710788263008,100.0,5,5,0.0
semantic_schedule_quality_gqa8_20260911,stock,8,gqa,0.0,0.0,5.039355197022921e-09,2.2355261530826454e-09,100.0,5,5,0.0
