candidate,scope,modality,tokens,mean_cosine,median_l2,mean_l2,p90_l2,quality_pass_rate,mean_selected_k,mean_router_mass,evidence,notes
top1_plain,partial expert output,text,49,0.6554208213826513,0.7830798905803695,0.7396326518241401,0.9255407280610549,0.0,1.0,0.34554230045192325,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top1_renormalized,partial expert output,text,49,0.6554208213837265,1.619092369755236,1.4702160324407076,2.1234038918070315,0.0,1.0,0.34554230045192325,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top2_plain,partial expert output,text,49,0.8127200816411314,0.6168482630408837,0.5755217738532807,0.853519938557334,0.0,2.0,0.49685853630171306,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top2_renormalized,partial expert output,text,49,0.8127200816420131,0.9871364062325789,0.9209872754511622,1.2809006995180912,0.0,2.0,0.49685853630171306,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top4_plain,partial expert output,text,49,0.9240606306137369,0.3337647302723398,0.3502512836346736,0.6862778842556125,0.0,4.0,0.716471124089955,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top4_renormalized,partial expert output,text,49,0.9240606306142733,0.4793581679548274,0.46960736806133857,0.6882826629002688,0.0,4.0,0.716471124089955,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top6_plain,partial expert output,text,49,0.9671925171792016,0.1680273966494434,0.21158607915926392,0.5461982443035425,0.08163265306122448,6.0,0.8744293397525473,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top6_renormalized,partial expert output,text,49,0.9671925171794541,0.2185939418269421,0.2417669485377495,0.5470317845830079,0.0,6.0,0.8744293397525473,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top7_plain,partial expert output,text,49,0.9843409982040017,0.09582936299581707,0.13738046076513707,0.4084629445736744,0.10204081632653061,7.0,0.9401904454471643,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top7_renormalized,partial expert output,text,49,0.9843409982041252,0.11314673090295811,0.14786092424022093,0.4086271860235245,0.08163265306122448,7.0,0.9401904454471643,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass70_plain,partial expert output,visual,870,0.9401622389832225,0.3596541889747771,0.34004130815545014,0.4579100001857714,0.01839080459770115,5.68735632183908,0.7720487601676715,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass70_renormalized,partial expert output,visual,870,0.9401622389833225,0.4309397495403646,0.38220657829827603,0.5235624568736804,0.010344827586206896,5.68735632183908,0.7720487601676715,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass80_plain,partial expert output,visual,870,0.9695140484733282,0.246681926340718,0.23637126934412866,0.33792356558005754,0.026436781609195402,6.642528735632184,0.8750430704460931,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass80_renormalized,partial expert output,visual,870,0.9695140484733812,0.27253150365362533,0.2539550373099468,0.3682837001469619,0.017241379310344827,6.642528735632184,0.8750430704460931,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass90_plain,partial expert output,visual,870,0.9949663832162906,0.0,0.05075581996799687,0.20122756321585056,0.7229885057471265,7.6,0.9741360208423987,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass90_renormalized,partial expert output,visual,870,0.9949663832162992,0.0,0.0556389615427828,0.22094854658274649,0.7114942528735633,7.6,0.9741360208423987,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass95_plain,partial expert output,visual,870,0.9999901876837821,0.0,0.0005630176446200858,0.0,0.9988505747126437,7.890804597701149,0.999035142624863,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass95_renormalized,partial expert output,visual,870,0.9999901876837821,0.0,0.0011388159428171144,0.0,0.9919540229885058,7.890804597701149,0.999035142624863,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass99_plain,partial expert output,visual,870,0.9999998289953196,0.0,6.687938560063844e-05,0.0,1.0,7.966666666666667,0.9998832422857589,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
mass99_renormalized,partial expert output,visual,870,0.9999998289953196,0.0,0.00013712466274473731,0.0,1.0,7.966666666666667,0.9998832422857589,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top1_plain,partial expert output,visual,870,0.5893300982288744,0.8684426399425716,0.8249895782723792,0.9347410175274797,0.01839080459770115,1.0,0.187075704521753,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top1_renormalized,partial expert output,visual,870,0.5893300982292601,2.1460313011587053,1.8895148527044758,2.669910454894003,0.010344827586206896,1.0,0.187075704521753,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top2_plain,partial expert output,visual,870,0.7295579639196567,0.7470998451582911,0.7103179053618912,0.8432237551477891,0.01839080459770115,2.0,0.32572713626365196,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top2_renormalized,partial expert output,visual,870,0.7295579639199742,1.4090745621703538,1.200833963911777,1.6445688986648803,0.013793103448275862,2.0,0.32572713626365196,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top4_plain,partial expert output,visual,870,0.8661931173954105,0.5417506694738317,0.5139690866851162,0.6651223682025006,0.01839080459770115,4.0,0.571701306214097,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top4_renormalized,partial expert output,visual,870,0.8661931173956083,0.7537739050744345,0.6525633097791614,0.8900545868019697,0.013793103448275862,4.0,0.571701306214097,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top6_plain,partial expert output,visual,870,0.944794565993111,0.3374328114547027,0.32413104283424904,0.45215914158662907,0.020689655172413793,6.0,0.7932187348107124,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top6_renormalized,partial expert output,visual,870,0.9447945659932048,0.3845054778294955,0.35295657259714935,0.5059296527335191,0.017241379310344827,6.0,0.7932187348107124,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top7_plain,partial expert output,visual,870,0.9743893140575963,0.22061405742606938,0.21434202419043727,0.32091174586394966,0.03218390804597701,7.0,0.8981982672554193,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
top7_renormalized,partial expert output,visual,870,0.9743893140576418,0.23491844000231915,0.2228616170881256,0.3354902010549902,0.02528735632183908,7.0,0.8981982672554193,FRESH_LIVE_QWEN3VL_DEEPEP,Expert-output-level only; no next-layer/logit propagation.
specmoe_affinity_same_expert_mean,output-affinity surrogate,visual+text,473,see surrogate_summary.csv,UNKNOWN,see surrogate_summary.csv,see surrogate_summary.csv,UNKNOWN,top4/6/7,preserved,FRESH_LIVE_OUTPUT_DIAGNOSTIC,Same-expert output mean; hidden/weight affinity not captured; not a SpecMoE novelty claim.
spatial_neighbor,output-affinity surrogate,visual,447,see surrogate_summary.csv,UNKNOWN,see surrogate_summary.csv,see surrogate_summary.csv,UNKNOWN,top4/6/7,preserved,FRESH_LIVE_OUTPUT_DIAGNOSTIC,Nearest same-expert visual token excluding self; no 2-D grid metadata in compact capture.
cross_layer_residual,cross-layer,all,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A,NOT_CAPTURED,No hidden state at successive residual boundaries.
